scenario_type,country,shock_pct,baseline_hhi,shocked_hhi,delta_hhi,lost_share,reallocation_targets
30pct_taiwan_disruption_targeted_reallocation,TAIWAN,0.3,0.18142352901261127,0.14033237243872046,-0.041091156573890814,0.1110624196650239,"KOREA, SOUTH, MALAYSIA, VIETNAM"
10pct_taiwan_diversification_to_asia_alternatives,TAIWAN,0.1,0.18142352901261127,0.16414000170867177,-0.017283527303939505,0.037020806555007967,"MALAYSIA, VIETNAM, KOREA, SOUTH"
25pct_china_disruption_shift_to_vietnam_malaysia_mexico,CHINA,0.25,0.18142352901261127,0.18256483961377315,0.0011413106011618768,0.0098470903166698,"VIETNAM, MALAYSIA, MEXICO"
20pct_korea_disruption_shift_to_taiwan_malaysia,"KOREA, SOUTH",0.2,0.18142352901261127,0.18886570443609976,0.00744217542348849,0.020984409369043642,"TAIWAN, MALAYSIA"
15pct_asean_logistics_bottleneck_shift_to_taiwan_korea_mexico,"VIETNAM, MALAYSIA",0.15,0.18142352901261127,0.18900424979098593,0.0075807207783746555,0.03434109800386673,"TAIWAN, KOREA, SOUTH, MEXICO"
