month,hs_code,hs_desc,hhi,c3_share,supplier_count
2021-10-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.3535370336906538,0.8357720121455724,52
2021-10-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.15930967280601832,0.5762151681281363,51
2021-10-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.13498504052940974,0.5469946751668238,93
2021-11-01,853400,PRINTED CIRCUITS,0.19295381668396877,0.6657828058695224,86
2021-11-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.28311287447275724,0.7258751848771182,95
2021-11-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.36391222787563815,0.8708025324867595,56
2021-11-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.18707375821804653,0.6157419074170023,53
2021-11-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.14319282792201068,0.5552852202967787,96
2021-12-01,853400,PRINTED CIRCUITS,0.20163340033549107,0.6912191650776064,88
2021-12-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.34826198361351324,0.744078523327294,100
2021-12-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.2649583590098828,0.7732571663343857,56
2021-12-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.19289766619625337,0.6080816449838384,54
2021-12-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.15630860353544124,0.5770033040269206,98
2022-01-01,853400,PRINTED CIRCUITS,0.22280678069810472,0.7022254369998772,48
2022-01-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.30244219060505745,0.7199997939028565,52
2022-01-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.2697499185151174,0.7738416199172397,37
2022-01-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.17655624473193263,0.6077267161417355,33
2022-01-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.15393182732018912,0.6029589117645041,55
2022-02-01,853400,PRINTED CIRCUITS,0.18947867285705516,0.6561655731685538,56
2022-02-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.3000107991707179,0.7331990359653764,57
2022-02-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.3054593043990544,0.7745005941724665,40
2022-02-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.18861011316068224,0.5936813179802267,38
2022-02-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.14724312255538827,0.5726699773245797,67
2022-03-01,853400,PRINTED CIRCUITS,0.19539048966242625,0.671222513297666,62
2022-03-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.4254329299390439,0.7756094228578266,64
2022-03-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.24646718299615228,0.745641920292486,44
2022-03-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.17569490545913863,0.5644034245823494,46
2022-03-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.14501183853865582,0.5777920370511611,71
2022-04-01,853400,PRINTED CIRCUITS,0.20601665883916714,0.7028143675908646,66
2022-04-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.21037810066938128,0.6187777412847295,71
2022-04-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.2931127343879657,0.7608327321582058,46
2022-04-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.16528672702369396,0.5996292846038723,48
2022-04-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.15900840894627755,0.593737383173862,78
2022-05-01,853400,PRINTED CIRCUITS,0.2043994838499128,0.6809568562424918,70
2022-05-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.2599445586366594,0.6867268239187176,76
2022-05-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.3351798765075954,0.772263148833484,51
2022-05-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.1614321384379433,0.5824025097272818,50
2022-05-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.15017884764348405,0.602779822303294,83
2022-06-01,853400,PRINTED CIRCUITS,0.19227602036254424,0.6502228012900673,72
2022-06-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.24000050414064067,0.6573526981604415,78
2022-06-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.29545630025301645,0.7504671452269593,52
2022-06-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.16063687111986288,0.5920678560419372,54
2022-06-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.1436231790478004,0.5497172579299882,90
2022-07-01,853400,PRINTED CIRCUITS,0.1990496280503721,0.6813484404692663,75
2022-07-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.22493071066068873,0.6508305831407847,83
2022-07-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.32063630005951615,0.7853870329917781,56
2022-07-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.16961995018402046,0.6142097362979406,54
2022-07-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.17422398546247914,0.5951219647089172,92
2022-08-01,853400,PRINTED CIRCUITS,0.17143379705000683,0.6441782112853326,76
2022-08-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.1618869073312329,0.5695354724590557,88
2022-08-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.23981878019536465,0.765001778786954,57
2022-08-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.16386996047654967,0.5975131135001842,55
2022-08-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.139373550752784,0.543713087161301,93
2022-09-01,853400,PRINTED CIRCUITS,0.18484568623489436,0.6540309279565673,77
2022-09-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.1786447445864894,0.6070522817155568,91
2022-09-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.2530622314292043,0.8086728958186253,60
2022-09-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.19535036674791223,0.6180551215783884,57
2022-09-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.1468970646173368,0.588850548192182,99
2022-10-01,853400,PRINTED CIRCUITS,0.20045278406743988,0.6857519920527442,79
2022-10-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.20242783377693058,0.6402598628344005,94
2022-10-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.22330065657896359,0.763413815236317,60
2022-10-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.1972134589897885,0.6227391404135137,57
2022-10-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.1427708835642942,0.5596352353916878,99
2022-11-01,853400,PRINTED CIRCUITS,0.19602379989303362,0.670010995102809,80
2022-11-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.17889103460276143,0.5818999386296646,95
2022-11-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.2529855505772865,0.802909432486928,62
2022-11-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.18137377037864158,0.6353560385803612,58
2022-11-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.16561689096803967,0.6046181095832115,104
2022-12-01,853400,PRINTED CIRCUITS,0.17444862579640327,0.6454067189079494,82
2022-12-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.1589055909637429,0.5765799494838082,96
2022-12-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.19866922013915939,0.7331258443552569,65
2022-12-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.17863133930128766,0.6056029819227596,58
2022-12-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.16551076342939408,0.6246972710639656,106
2023-01-01,853400,PRINTED CIRCUITS,0.19178382059809454,0.6719339633179039,52
2023-01-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.17599771589267652,0.590346437217247,57
2023-01-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.2358617612313948,0.7698466956313558,27
2023-01-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.1843876232814739,0.6444181453637625,29
2023-01-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.15659773419007506,0.5750920772690076,54
2023-02-01,853400,PRINTED CIRCUITS,0.17875841218169142,0.6637312704042073,56
2023-02-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.16147682562947796,0.5592265334463139,68
2023-02-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.24187726281620442,0.7460757242962743,33
2023-02-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.18780726145067278,0.6305687159515565,35
2023-02-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.1795548525317942,0.6174124812343791,60
2023-03-01,853400,PRINTED CIRCUITS,0.17321221851170449,0.6189171090125225,65
2023-03-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.16415867404574871,0.5982976855163132,74
2023-03-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.2622111105085598,0.7702336832032597,38
