NAICS,CTY_CODE,country,import_value,time,COMM_LVL,NAICS.1,month,total_import_value,country_share,country_share_ma3,share_volatility_12m,resilience_score,hhi,c5_share,supplier_count,import_price_index_overall,import_price_index_asian_nics,import_price_index_industrialized,domestic_producer_price_index
3344,2230,COSTA RICA,11870486,2021-01-01,NA4,3344,2021-01-01,6472583060,0.0018339642597031424,0.0018339642597031424,,9981.660357402969,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,4351,CZECH REPUBLIC,7619364,2021-01-01,NA4,3344,2021-01-01,6472583060,0.0011771751601129703,0.0011771751601129703,,9988.22824839887,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,4550,POLAND,7448037,2021-01-01,NA4,3344,2021-01-01,6472583060,0.0011507055113789456,0.0011507055113789456,,9988.49294488621,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,4010,SWEDEN,7082051,2021-01-01,NA4,3344,2021-01-01,6472583060,0.0010941614706756655,0.0010941614706756655,,9989.058385293243,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,7140,MOROCCO,6921765,2021-01-01,NA4,3344,2021-01-01,6472583060,0.001069397632419104,0.001069397632419104,,9989.306023675808,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,5820,HONG KONG,6386697,2021-01-01,NA4,3344,2021-01-01,6472583060,0.000986730790597224,0.000986730790597224,,9990.132692094028,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,4050,FINLAND,6010722,2021-01-01,NA4,3344,2021-01-01,6472583060,0.0009286434711275841,0.0009286434711275841,,9990.713565288725,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,6141,NEW ZEALAND,5284064,2021-01-01,NA4,3344,2021-01-01,6472583060,0.0008163763911590499,0.0008163763911590499,,9991.83623608841,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,4359,SLOVAKIA,4750235,2021-01-01,NA4,3344,2021-01-01,6472583060,0.0007339009721414065,0.0007339009721414065,,9992.660990278586,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,4231,BELGIUM,4135807,2021-01-01,NA4,3344,2021-01-01,6472583060,0.0006389731829876278,0.0006389731829876278,,9993.610268170123,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
